Coin,Date,Open,High,Low,Close,Volume,Market Cap
btc,6/1/2020,9463.61,10199.56,9450.9,10167.27,35198901068,1.86993E+11
eth,6/1/2020,230.86,248.24,230.49,246.99,13951727936,27459257209
doge,6/1/2020,0,0,0,0,195748335,330327929
btc,6/2/2020,10162.97,10182.34,9460.57,9529.8,39137252109,1.75277E+11
eth,6/2/2020,246.83,252.22,233.23,237.22,13782107567,26376031890
doge,6/2/2020,0,0,0,0,200119264,319695395
btc,6/3/2020,9533.76,9682.86,9471.85,9656.72,25007459262,1.7762E+11
eth,6/3/2020,237.4,244.18,235.46,244.18,9861760817,27153238868
doge,6/3/2020,0,0,0,0,190021630,322396402
btc,6/4/2020,9655.85,9887.61,9525.25,9800.64,25921805072,1.80276E+11
eth,6/4/2020,244.11,245.93,236.77,244.43,10170414304,27184018612
doge,6/4/2020,0,0,0,0,194078582,328426404
btc,6/5/2020,9800.22,9869.24,9663.22,9665.53,23509628646,1.77802E+11
eth,6/5/2020,244.35,247.33,240.68,241.22,9293963914,26830954614
doge,6/5/2020,0,0,0,0,188846627,324106967
btc,6/6/2020,9664.9,9773.43,9591.02,9653.68,20438419222,1.77596E+11
eth,6/6/2020,241.2,245.98,239.72,241.93,8114873845,26913140925
doge,6/6/2020,0,0,0,0,175988365,323074953
btc,6/7/2020,9653,9768.5,9458.15,9758.85,25015250846,1.7954E+11
eth,6/7/2020,241.91,245.44,236.33,245.17,9544883157,27276459502
doge,6/7/2020,0,0,0,0,188151455,325471959
btc,6/8/2020,9760.06,9782.31,9675.89,9771.49,21486346312,1.79783E+11
eth,6/8/2020,245.18,246.64,241.54,246.31,8076783299,27406923226
doge,6/8/2020,0,0,0,0,187140783,322775863
btc,6/9/2020,9774.36,9836.37,9664.72,9795.7,23717842783,1.80238E+11
eth,6/9/2020,246.18,248.34,242.34,244.91,8446545788,27254678255
doge,6/9/2020,0,0,0,0,175910197,320861092
btc,6/10/2020,9794.12,9908.9,9728.29,9870.09,25706567601,1.81617E+11
eth,6/10/2020,244.82,248.65,242.82,247.44,8792990206,27539945413
doge,6/10/2020,0,0,0,0,182748021,322845887
btc,6/11/2020,9870.08,9938.3,9263.07,9321.78,30247143440,1.71538E+11
eth,6/11/2020,247.55,249.89,229.94,231.7,12356528860,25791024831
doge,6/11/2020,0,0,0,0,183212798,306396406
btc,6/12/2020,9320.69,9540.47,9285.85,9480.84,22610564515,1.74475E+11
eth,6/12/2020,231.63,239.35,229.65,237.49,8868955009,26438827420
doge,6/12/2020,0,0,0,0,194920048,314916066
btc,6/13/2020,9480.74,9493.21,9396.01,9475.28,17564322315,1.74382E+11
