Type,Date,Open,High,Low,Close,Adj. close,Volume
s&p,1/2/2008,"1,467.97","1,471.77","1,442.07","1,447.16","1,447.16","3,45,26,50,000"
nasdaq,1/2/2008,2653.909912,2661.5,2597.810059,2609.629883,2609.629883,2076690000
s&p,1/3/2008,"1,447.55","1,456.80","1,443.73","1,447.16","1,447.16","3,42,95,00,000"
nasdaq,1/3/2008,2611.959961,2624.27002,2592.179932,2602.679932,2602.679932,1970200000
s&p,1/4/2008,"1,444.01","1,444.01","1,411.19","1,411.63","1,411.63","4,16,60,00,000"
nasdaq,1/4/2008,2571.080078,2571.080078,2502.679932,2504.649902,2504.649902,2516310000
s&p,1/7/2008,"1,414.07","1,423.87","1,403.45","1,416.18","1,416.18","4,22,12,60,000"
nasdaq,1/7/2008,2514.149902,2521.620117,2471.22998,2499.459961,2499.459961,2600100000
s&p,1/8/2008,"1,415.71","1,430.28","1,388.30","1,390.19","1,390.19","4,70,53,90,000"
nasdaq,1/8/2008,2506.969971,2527.419922,2440.51001,2440.51001,2440.51001,2566480000
s&p,1/9/2008,"1,390.25","1,409.19","1,378.70","1,409.13","1,409.13","5,35,10,30,000"
nasdaq,1/9/2008,2443.850098,2474.550049,2407.389893,2474.550049,2474.550049,2821160000
s&p,1/10/2008,"1,406.78","1,429.09","1,395.31","1,420.33","1,420.33","5,17,04,90,000"
nasdaq,1/10/2008,2452.120117,2503.550049,2446.800049,2488.52002,2488.52002,2640400000
s&p,1/11/2008,"1,419.91","1,419.91","1,394.83","1,401.02","1,401.02","4,49,58,40,000"
nasdaq,1/11/2008,2471.860107,2473.949951,2428.850098,2439.939941,2439.939941,2355490000
s&p,1/14/2008,"1,402.91","1,417.89","1,402.91","1,416.25","1,416.25","3,68,20,90,000"
nasdaq,1/14/2008,2470.870117,2483.129883,2455.340088,2478.300049,2478.300049,2134230000
s&p,1/15/2008,"1,411.88","1,411.88","1,380.60","1,380.95","1,380.95","4,60,16,40,000"
nasdaq,1/15/2008,2449.040039,2455.290039,2412.469971,2417.590088,2417.590088,2390120000
s&p,1/16/2008,"1,377.41","1,391.99","1,364.27","1,373.20","1,373.20","5,44,06,20,000"
nasdaq,1/16/2008,2390.560059,2429.580078,2361.219971,2394.590088,2394.590088,3397330000
s&p,1/17/2008,"1,374.79","1,377.72","1,330.67","1,333.25","1,333.25","5,30,31,30,000"
nasdaq,1/17/2008,2405.73999,2416.51001,2343.649902,2346.899902,2346.899902,2785930000
s&p,1/18/2008,"1,333.90","1,350.28","1,312.51","1,325.19","1,325.19","6,00,48,40,000"
nasdaq,1/18/2008,2365.560059,2384.209961,2323.290039,2340.02002,2340.02002,2991360000
s&p,1/22/2008,"1,312.94","1,322.09","1,274.29","1,310.50","1,310.50","6,54,46,90,000"
nasdaq,1/22/2008,2221.199951,2318.600098,2221.199951,2292.27002,2292.27002,3161430000
s&p,1/23/2008,"1,310.41","1,339.09","1,270.05","1,338.60","1,338.60","3,24,16,80,000"
nasdaq,1/23/2008,2226.77002,2320.129883,2202.540039,2316.409912,2316.409912,3650250000
s&p,1/24/2008,"1,340.13","1,355.15","1,334.31","1,352.07","1,352.07","5,73,53,00,000"
nasdaq,1/24/2008,2328.860107,2361.889893,2326.370117,2360.919922,2360.919922,2928900000
s&p,1/25/2008,"1,357.32","1,368.56","1,327.50","1,330.61","1,330.61","4,88,22,50,000"
nasdaq,1/25/2008,2402.800049,2408.219971,2322.560059,2326.199951,2326.199951,2599410000
s&p,1/28/2008,"1,330.70","1,353.97","1,322.26","1,353.96","1,353.96","4,10,09,30,000"
nasdaq,1/28/2008,2324.850098,2349.909912,2306.639893,2349.909912,2349.909912,2033860000
s&p,1/29/2008,"1,355.94","1,364.93","1,350.19","1,362.30","1,362.30","4,23,29,60,000"
nasdaq,1/29/2008,2360.429932,2362.110107,2332,2358.060059,2358.060059,2160040000
s&p,1/30/2008,"1,362.22","1,385.86","1,352.95","1,355.81","1,355.81","4,74,27,60,000"
nasdaq,1/30/2008,2346.360107,2396,2343.879883,2349,2349,2618850000
