Date,Open*,High,Low,Close**,Volume,Market Cap
1-Jun-21,$0.33 ,$0.38 ,$0.31 ,$0.37 ,"$5,796,031,087 ","$48,050,998,401 "
31-May-21,$0.30 ,$0.33 ,$0.29 ,$0.33 ,"$2,440,829,325 ","$42,298,953,606 "
30-May-21,$0.30 ,$0.31 ,$0.29 ,$0.30 ,"$1,929,947,933 ","$39,232,589,726 "
29-May-21,$0.31 ,$0.32 ,$0.28 ,$0.30 ,"$2,470,710,737 ","$39,344,899,569 "
28-May-21,$0.33 ,$0.35 ,$0.30 ,$0.31 ,"$3,289,455,640 ","$40,391,360,016 "
27-May-21,$0.35 ,$0.35 ,$0.33 ,$0.33 ,"$2,485,942,309 ","$43,208,473,793 "
26-May-21,$0.35 ,$0.37 ,$0.34 ,$0.35 ,"$3,355,793,260 ","$45,896,157,271 "
25-May-21,$0.37 ,$0.38 ,$0.32 ,$0.35 ,"$5,544,552,739 ","$44,932,307,822 "
24-May-21,$0.31 ,$0.37 ,$0.30 ,$0.37 ,"$6,821,088,755 ","$47,504,120,043 "
23-May-21,$0.34 ,$0.35 ,$0.25 ,$0.31 ,"$7,143,545,371 ","$39,963,404,929 "
22-May-21,$0.36 ,$0.36 ,$0.32 ,$0.34 ,"$5,243,222,352 ","$44,408,253,680 "
21-May-21,$0.40 ,$0.41 ,$0.31 ,$0.36 ,"$7,452,862,203 ","$46,609,753,575 "
20-May-21,$0.33 ,$0.43 ,$0.30 ,$0.40 ,"$12,415,484,460 ","$51,897,302,336 "
19-May-21,$0.48 ,$0.68 ,$0.22 ,$0.33 ,"$15,072,620,946 ","$43,194,982,873 "
18-May-21,$0.49 ,$0.52 ,$0.47 ,$0.48 ,"$4,802,902,841 ","$61,729,644,541 "
17-May-21,$0.51 ,$0.52 ,$0.46 ,$0.49 ,"$7,330,830,504 ","$63,249,211,418 "
16-May-21,$0.51 ,$0.55 ,$0.45 ,$0.51 ,"$9,541,552,064 ","$66,742,824,282 "
15-May-21,$0.56 ,$0.56 ,$0.49 ,$0.51 ,"$9,836,892,944 ","$65,838,461,456 "
14-May-21,$0.49 ,$0.59 ,$0.46 ,$0.56 ,"$20,466,177,002 ","$72,522,897,885 "
13-May-21,$0.39 ,$0.52 ,$0.36 ,$0.49 ,"$18,663,174,069 ","$63,544,125,614 "
12-May-21,$0.49 ,$0.52 ,$0.39 ,$0.39 ,"$8,621,337,859 ","$49,932,901,319 "
11-May-21,$0.45 ,$0.55 ,$0.45 ,$0.50 ,"$14,566,975,476 ","$64,161,634,641 "
10-May-21,$0.57 ,$0.57 ,$0.42 ,$0.45 ,"$16,514,521,828 ","$58,290,605,343 "
9-May-21,$0.64 ,$0.70 ,$0.43 ,$0.57 ,"$46,138,063,928 ","$73,841,942,943 "
8-May-21,$0.69 ,$0.74 ,$0.61 ,$0.64 ,"$25,555,125,135 ","$82,429,781,487 "
7-May-21,$0.58 ,$0.73 ,$0.52 ,$0.68 ,"$28,615,083,657 ","$88,680,824,303 "
6-May-21,$0.65 ,$0.66 ,$0.55 ,$0.58 ,"$18,989,900,291 ","$75,207,782,074 "
5-May-21,$0.54 ,$0.70 ,$0.52 ,$0.66 ,"$42,525,098,292 ","$85,147,176,077 "
4-May-21,$0.44 ,$0.61 ,$0.40 ,$0.54 ,"$38,238,126,181 ","$70,081,925,802 "
3-May-21,$0.37 ,$0.45 ,$0.37 ,$0.44 ,"$10,526,649,978 ","$57,177,802,914 "
2-May-21,$0.39 ,$0.40 ,$0.36 ,$0.38 ,"$8,040,406,918 ","$48,672,985,630 "
1-May-21,$0.34 ,$0.40 ,$0.33 ,$0.39 ,"$10,123,343,703 ","$50,860,335,491 "
30-Apr-21,$0.30 ,$0.34 ,$0.30 ,$0.34 ,"$5,290,390,982 ","$43,681,559,535 "
29-Apr-21,$0.32 ,$0.32 ,$0.30 ,$0.31 ,"$5,027,354,503 ","$39,485,786,704 "
28-Apr-21,$0.27 ,$0.34 ,$0.26 ,$0.32 ,"$14,464,343,767 ","$41,876,610,359 "
27-Apr-21,$0.27 ,$0.28 ,$0.26 ,$0.27 ,"$3,590,611,310 ","$35,210,893,019 "
26-Apr-21,$0.25 ,$0.28 ,$0.25 ,$0.27 ,"$5,118,886,527 ","$35,011,409,694 "
