Date,Open*,High,Low,Close**,Volume,Market Cap
1-Jun-21,$188.12 ,$193.00 ,$176.30 ,$182.98 ,"$2,965,166,592 ","$12,214,402,940 "
31-May-21,$170.67 ,$188.16 ,$164.01 ,$188.03 ,"$3,347,105,582 ","$12,551,701,641 "
30-May-21,$163.80 ,$180.26 ,$156.32 ,$170.98 ,"$3,015,850,344 ","$11,413,209,328 "
29-May-21,$177.38 ,$188.61 ,$158.04 ,$163.81 ,"$4,442,221,955 ","$10,934,586,487 "
28-May-21,$193.99 ,$198.49 ,$166.20 ,$177.32 ,"$4,842,770,593 ","$11,836,582,264 "
27-May-21,$199.24 ,$208.46 ,$181.09 ,$193.12 ,"$4,104,509,375 ","$12,891,299,486 "
26-May-21,$183.98 ,$204.09 ,$180.02 ,$199.22 ,"$4,409,113,332 ","$13,298,705,180 "
25-May-21,$185.04 ,$194.12 ,$168.41 ,$183.50 ,"$5,221,949,811 ","$12,248,927,683 "
24-May-21,$142.80 ,$184.14 ,$140.40 ,$183.99 ,"$5,615,445,186 ","$12,282,051,974 "
23-May-21,$169.68 ,$176.46 ,$118.64 ,$143.52 ,"$6,847,843,143 ","$9,580,263,561 "
22-May-21,$180.54 ,$184.37 ,$163.07 ,$169.59 ,"$5,184,597,505 ","$11,320,846,509 "
21-May-21,$210.94 ,$219.23 ,$157.61 ,$180.20 ,"$6,827,729,891 ","$12,028,586,893 "
20-May-21,$186.87 ,$224.85 ,$167.64 ,$212.28 ,"$8,294,595,618 ","$14,169,944,716 "
19-May-21,$294.61 ,$299.85 ,$151.17 ,$189.52 ,"$11,449,368,854 ","$12,650,929,547 "
18-May-21,$281.10 ,$318.05 ,$279.41 ,$294.62 ,"$7,572,089,848 ","$19,666,550,646 "
17-May-21,$296.09 ,$296.41 ,$262.74 ,$281.77 ,"$6,426,443,389 ","$18,808,781,567 "
16-May-21,$299.82 ,$323.76 ,$280.37 ,$296.63 ,"$5,522,282,426 ","$19,800,570,914 "
15-May-21,$326.40 ,$331.59 ,$297.59 ,$299.77 ,"$5,642,887,118 ","$20,010,538,877 "
14-May-21,$317.52 ,$338.10 ,$308.71 ,$326.23 ,"$6,413,801,038 ","$21,776,898,416 "
13-May-21,$310.10 ,$332.03 ,$292.28 ,$316.91 ,"$9,777,636,796 ","$21,154,463,878 "
12-May-21,$377.67 ,$393.13 ,$303.08 ,$303.08 ,"$8,782,996,412 ","$20,231,645,868 "
11-May-21,$359.26 ,$378.86 ,$345.30 ,$377.39 ,"$8,798,204,078 ","$25,191,613,587 "
10-May-21,$387.87 ,$412.96 ,$339.14 ,$359.33 ,"$13,240,769,672 ","$23,986,098,597 "
9-May-21,$347.09 ,$388.23 ,$335.17 ,$386.45 ,"$9,835,832,552 ","$25,796,522,602 "
8-May-21,$345.30 ,$356.03 ,$334.98 ,$346.37 ,"$6,775,459,938 ","$23,120,949,080 "
7-May-21,$354.51 ,$372.27 ,$334.00 ,$346.25 ,"$11,094,872,192 ","$23,113,261,799 "
6-May-21,$356.02 ,$364.52 ,$323.71 ,$353.51 ,"$10,441,211,171 ","$23,597,669,495 "
5-May-21,$305.18 ,$359.50 ,$301.45 ,$356.04 ,"$13,183,539,068 ","$23,766,334,680 "
4-May-21,$294.77 ,$326.89 ,$275.46 ,$306.23 ,"$11,541,253,990 ","$20,441,892,546 "
3-May-21,$269.01 ,$299.30 ,$268.73 ,$294.70 ,"$5,172,505,234 ","$19,672,204,637 "
2-May-21,$276.96 ,$277.48 ,$265.34 ,$269.10 ,"$3,118,501,264 ","$17,963,366,445 "
1-May-21,$271.14 ,$278.22 ,$266.63 ,$276.83 ,"$3,611,805,752 ","$18,479,305,895 "
30-Apr-21,$255.45 ,$273.25 ,$252.89 ,$271.17 ,"$3,898,872,713 ","$18,101,057,211 "
29-Apr-21,$258.58 ,$262.55 ,$249.29 ,$255.59 ,"$3,555,940,124 ","$17,060,933,945 "
28-Apr-21,$259.79 ,$266.31 ,$248.51 ,$258.51 ,"$4,235,575,377 ","$17,255,844,325 "
27-Apr-21,$247.58 ,$262.62 ,$244.00 ,$259.65 ,"$4,605,576,124 ","$17,332,417,687 "
26-Apr-21,$223.99 ,$247.96 ,$221.91 ,$247.41 ,"$4,935,577,761 ","$16,514,942,691 "
25-Apr-21,$224.92 ,$235.21 ,$212.29 ,$223.63 ,"$3,703,413,398 ","$14,928,033,322 "
24-Apr-21,$241.46 ,$241.46 ,$221.28 ,$224.84 ,"$4,567,973,779 ","$15,008,330,255 "
23-Apr-21,$253.10 ,$256.66 ,$212.03 ,$241.36 ,"$9,252,716,255 ","$16,111,281,676 "
22-Apr-21,$258.06 ,$289.33 ,$241.30 ,$253.08 ,"$9,862,940,091 ","$16,893,590,792 "
21-Apr-21,$261.07 ,$276.31 ,$251.68 ,$258.81 ,"$7,698,253,801 ","$17,275,898,188 "
20-Apr-21,$261.28 ,$272.59 ,$235.67 ,$260.94 ,"$9,446,199,109 ","$17,418,464,917 "
19-Apr-21,$273.65 ,$281.35 ,$251.51 ,$261.92 ,"$9,384,818,110 ","$17,483,740,119 "
18-Apr-21,$304.65 ,$307.30 ,$238.34 ,$273.10 ,"$13,129,808,269 ","$18,230,006,101 "
17-Apr-21,$309.56 ,$335.02 ,$300.61 ,$304.76 ,"$13,254,117,896 ","$20,343,460,200 "
16-Apr-21,$286.28 ,$316.97 ,$267.47 ,$310.61 ,"$11,850,832,933 ","$20,734,150,369 "
15-Apr-21,$279.34 ,$290.79 ,$267.18 ,$286.59 ,"$6,470,712,244 ","$19,130,613,995 "
14-Apr-21,$267.23 ,$282.68 ,$256.76 ,$279.75 ,"$8,215,124,752 ","$18,673,881,531 "
13-Apr-21,$244.71 ,$273.25 ,$244.67 ,$266.98 ,"$6,908,471,654 ","$17,821,657,828 "
12-Apr-21,$253.18 ,$258.60 ,$241.10 ,$244.49 ,"$5,220,366,581 ","$16,320,589,728 "
11-Apr-21,$256.92 ,$264.51 ,$246.41 ,$253.63 ,"$6,786,514,965 ","$16,930,713,065 "
10-Apr-21,$221.72 ,$255.68 ,$220.20 ,$255.62 ,"$6,686,630,635 ","$17,063,265,385 "
9-Apr-21,$227.02 ,$228.97 ,$220.11 ,$221.86 ,"$3,137,324,847 ","$14,809,848,423 "
8-Apr-21,$219.85 ,$228.35 ,$218.08 ,$227.00 ,"$4,532,286,410 ","$15,152,999,553 "
7-Apr-21,$237.56 ,$243.15 ,$212.23 ,$219.42 ,"$8,711,169,124 ","$14,647,060,336 "
6-Apr-21,$221.61 ,$244.52 ,$217.63 ,$237.66 ,"$9,267,495,720 ","$15,864,706,319 "
5-Apr-21,$204.05 ,$225.40 ,$200.93 ,$221.07 ,"$4,789,647,554 ","$14,756,892,336 "
4-Apr-21,$197.11 ,$206.22 ,$195.53 ,$204.04 ,"$2,866,830,149 ","$13,620,356,609 "
3-Apr-21,$213.16 ,$218.24 ,$197.15 ,$197.15 ,"$4,020,429,578 ","$13,160,118,573 "
2-Apr-21,$204.05 ,$214.40 ,$202.51 ,$213.23 ,"$4,095,228,243 ","$14,233,509,584 "
1-Apr-21,$197.52 ,$205.47 ,$195.94 ,$204.11 ,"$3,871,809,467 ","$13,625,003,716 "
31-Mar-21,$196.69 ,$199.28 ,$189.49 ,$197.50 ,"$3,416,343,750 ","$13,183,541,314 "
30-Mar-21,$194.47 ,$200.12 ,$191.15 ,$196.68 ,"$3,604,665,752 ","$13,129,004,499 "
29-Mar-21,$185.02 ,$197.49 ,$183.48 ,$194.47 ,"$3,353,971,422 ","$12,981,660,946 "
28-Mar-21,$184.82 ,$187.75 ,$181.67 ,$185.03 ,"$2,162,823,815 ","$12,351,098,573 "
27-Mar-21,$184.27 ,$186.54 ,$179.12 ,$184.83 ,"$2,408,040,965 ","$12,336,637,351 "
26-Mar-21,$173.02 ,$184.44 ,$172.74 ,$184.28 ,"$3,109,769,980 ","$12,298,583,953 "
25-Mar-21,$177.59 ,$179.13 ,$169.64 ,$173.06 ,"$3,429,325,350 ","$11,548,812,450 "
24-Mar-21,$187.34 ,$197.34 ,$175.84 ,$177.65 ,"$4,051,272,249 ","$11,854,104,964 "
23-Mar-21,$187.07 ,$189.96 ,$182.69 ,$187.39 ,"$3,047,428,308 ","$12,502,735,967 "
22-Mar-21,$196.43 ,$198.90 ,$186.62 ,$187.08 ,"$3,115,325,434 ","$12,480,313,549 "
21-Mar-21,$200.81 ,$202.85 ,$193.50 ,$196.43 ,"$2,758,761,604 ","$13,102,583,632 "
20-Mar-21,$201.03 ,$206.70 ,$200.18 ,$200.81 ,"$2,529,075,165 ","$13,393,101,107 "
19-Mar-21,$200.50 ,$205.34 ,$196.95 ,$201.06 ,"$2,807,932,048 ","$13,408,836,542 "
18-Mar-21,$206.03 ,$208.10 ,$200.10 ,$200.54 ,"$3,719,561,575 ","$13,372,309,588 "
17-Mar-21,$201.06 ,$206.29 ,$195.03 ,$206.07 ,"$4,362,001,168 ","$13,739,726,325 "
16-Mar-21,$201.19 ,$204.86 ,$192.19 ,$201.04 ,"$5,270,029,739 ","$13,403,133,372 "
15-Mar-21,$215.23 ,$221.69 ,$198.75 ,$201.26 ,"$6,186,375,403 ","$13,416,579,221 "
14-Mar-21,$226.51 ,$227.83 ,$215.30 ,$215.30 ,"$4,537,627,844 ","$14,350,314,679 "
13-Mar-21,$220.86 ,$229.37 ,$213.61 ,$226.58 ,"$6,378,541,696 ","$15,100,529,216 "
12-Mar-21,$201.27 ,$223.61 ,$198.95 ,$220.83 ,"$8,079,722,567 ","$14,715,870,199 "
11-Mar-21,$200.45 ,$203.17 ,$191.54 ,$201.25 ,"$4,823,154,653 ","$13,409,899,023 "
10-Mar-21,$203.64 ,$207.39 ,$192.58 ,$200.52 ,"$6,296,082,804 ","$13,362,305,353 "
9-Mar-21,$191.94 ,$204.75 ,$189.42 ,$203.64 ,"$5,408,294,951 ","$13,568,866,822 "
8-Mar-21,$190.77 ,$194.62 ,$180.07 ,$191.93 ,"$4,401,225,306 ","$12,787,203,585 "
7-Mar-21,$182.99 ,$191.77 ,$182.42 ,$190.76 ,"$3,541,357,558 ","$12,707,914,233 "
6-Mar-21,$180.71 ,$184.34 ,$175.40 ,$182.98 ,"$3,799,599,706 ","$12,188,376,458 "
5-Mar-21,$181.04 ,$183.10 ,$169.33 ,$180.77 ,"$4,560,793,618 ","$12,039,353,700 "
4-Mar-21,$188.46 ,$194.23 ,$177.32 ,$181.08 ,"$5,488,598,135 ","$12,058,928,099 "
3-Mar-21,$177.97 ,$196.26 ,$177.37 ,$188.53 ,"$6,392,122,021 ","$12,553,608,189 "
2-Mar-21,$175.21 ,$184.73 ,$171.20 ,$177.87 ,"$5,247,274,825 ","$11,843,018,105 "
1-Mar-21,$164.98 ,$176.36 ,$163.97 ,$175.24 ,"$4,627,257,694 ","$11,666,301,506 "
28-Feb-21,$172.10 ,$172.65 ,$154.80 ,$164.93 ,"$5,945,000,101 ","$10,978,655,641 "
27-Feb-21,$170.43 ,$179.93 ,$167.91 ,$172.10 ,"$4,991,079,437 ","$11,454,859,536 "
26-Feb-21,$179.13 ,$182.08 ,$163.25 ,$170.40 ,"$7,875,998,386 ","$11,340,299,606 "
25-Feb-21,$181.39 ,$204.74 ,$176.03 ,$178.90 ,"$7,327,999,233 ","$11,904,886,776 "
24-Feb-21,$176.97 ,$189.17 ,$169.79 ,$181.38 ,"$7,205,360,252 ","$12,070,508,501 "
23-Feb-21,$208.12 ,$208.37 ,$159.68 ,$176.93 ,"$10,944,696,472 ","$11,773,563,803 "
22-Feb-21,$227.22 ,$227.23 ,$182.53 ,$208.11 ,"$9,523,044,215 ","$13,846,295,160 "
21-Feb-21,$227.52 ,$233.15 ,$220.98 ,$227.23 ,"$6,934,669,818 ","$15,117,128,942 "
20-Feb-21,$236.65 ,$245.96 ,$216.64 ,$227.62 ,"$8,208,699,025 ","$15,143,671,930 "
19-Feb-21,$226.90 ,$241.16 ,$220.96 ,$236.68 ,"$7,151,082,978 ","$15,744,553,204 "
18-Feb-21,$236.95 ,$238.20 ,$221.59 ,$226.87 ,"$7,889,078,633 ","$15,090,475,729 "
17-Feb-21,$210.57 ,$236.97 ,$204.24 ,$236.97 ,"$13,792,789,978 ","$15,760,825,693 "
16-Feb-21,$207.61 ,$221.05 ,$201.30 ,$210.55 ,"$12,666,436,004 ","$14,001,682,545 "
15-Feb-21,$214.32 ,$219.64 ,$192.12 ,$207.68 ,"$13,482,646,966 ","$13,809,636,077 "
14-Feb-21,$226.29 ,$229.21 ,$210.10 ,$214.43 ,"$12,902,511,399 ","$14,256,947,121 "
13-Feb-21,$197.23 ,$228.38 ,$192.92 ,$226.23 ,"$16,565,513,036 ","$15,039,659,993 "
12-Feb-21,$184.39 ,$199.42 ,$178.12 ,$197.23 ,"$10,839,370,443 ","$13,110,544,888 "
